location,site,year1stTag,tag,plot,dah.yr0,dah.yr1,dah.yr1.max,height.yr0,height.yr1,stems.yr0,stems.yr1,yr0,dens.cont.yr0,densEffect.yr0,dah.superclass.yr0,mortality.yr1,name,nhlc
unh,eff,2010,280,130,0.3,0.29,NA,46,52,1,1,2011,13,12,A,NA,eff130,NA
unh,eff,2010,281,130,0.38,0.38,NA,59,70,1,1,2011,13,12,A,NA,eff130,NA
unh,eff,2010,282,137,0.19,0.2,NA,33,39,3,2,2011,10,9,A,NA,eff137,NA
unh,eff,2010,283,137,1.04,1.31,NA,170,187,1,1,2011,10,4,B,NA,eff137,NA
unh,eff,2010,284,137,0.31,0.33,NA,61,69,1,1,2011,10,9,A,NA,eff137,NA
unh,eff,2010,285,137,1.75,1.89,NA,265,304,5,5,2011,10,2,B,NA,eff137,NA
unh,eff,2010,286,139,0.25,0.31,NA,45,61,1,1,2011,11,10,A,NA,eff139,NA
unh,eff,2010,287,139,0.82,0.91,NA,240,250,4,5,2011,11,5,B,NA,eff139,NA
unh,eff,2010,288,142,0.33,NA,NA,51,NA,1,NA,2011,8,7,A,NA,eff142,NA
unh,eff,2010,289,142,0.46,0.48,NA,93,99,1,2,2011,8,4,A,NA,eff142,NA
unh,eff,2010,348,143,0.35,0.36,NA,65,86,2,2,2011,7,6,A,NA,eff143,NA
unh,eff,2010,349,143,0.24,0.25,NA,47,58,2,2,2011,7,6,A,NA,eff143,NA
unh,eff,2010,290,144,1.65,1.71,1.82,326,367,4,4,2011,10,0,B,NA,eff144,NA
unh,eff,2010,291,144,0.42,NA,NA,69,NA,1,NA,2011,10,9,A,NA,eff144,NA
unh,eff,2010,292,144,0.75,0.72,NA,152,162,3,3,2011,10,4,B,NA,eff144,NA
unh,eff,2010,293,144,0.26,0.26,NA,37,48,1,1,2011,10,9,A,NA,eff144,NA
unh,eff,2010,295,159,0.6,0.59,NA,124,138,3,3,2011,12,8,B,NA,eff159,NA
unh,eff,2010,296,159,0.34,0.39,NA,64,82,1,1,2011,12,11,A,NA,eff159,NA
unh,eff,2010,297,159,0.56,0.67,NA,101,133,1,1,2011,12,11,B,NA,eff159,NA
unh,eff,2010,294,160,3.35,2.95,3.67,380,400,1,1,2011,4,0,C,NA,eff160,NA
unh,eff,2010,298,169,0.25,0.33,NA,34,50,1,1,2011,10,9,A,NA,eff169,NA
unh,eff,2010,299,169,0.41,0.42,NA,62,88,3,3,2011,10,9,A,NA,eff169,NA
unh,eff,2010,301,169,0.58,0.73,NA,105,119,1,1,2011,10,6,B,NA,eff169,NA
unh,eff,2010,302,169,1.32,1.55,NA,223,260,5,5,2011,10,0,B,NA,eff169,NA
unh,eff,2010,303,172,0.85,1.1,NA,155,184,1,1,2011,6,5,B,NA,eff172,NA
unh,eff,2010,304,172,0.37,0.32,NA,71,76,2,2,2011,6,5,A,NA,eff172,NA
unh,eff,2010,305,175,0.42,0.45,NA,70,83,1,1,2011,5,4,A,NA,eff175,NA
unh,eff,2010,306,175,1.14,1.39,NA,193,213,1,1,2011,5,2,B,NA,eff175,NA
unh,eff,2010,307,175,2.55,2.58,2.7,395,401,1,1,2011,5,0,C,NA,eff175,NA
unh,eff,2010,308,176,1.17,1.23,NA,193,225,2,2,2011,8,4,B,NA,eff176,NA
unh,eff,2010,309,176,0.48,0.51,NA,90,100,2,2,2011,8,7,A,NA,eff176,NA
unh,eff,2010,310,178,0.33,0.34,NA,59,70,1,1,2011,6,5,A,NA,eff178,NA
unh,eff,2010,311,182,0.75,0.77,NA,142,155,1,1,2011,16,1,B,NA,eff182,NA
unh,eff,2010,312,182,0.54,0.59,NA,116,130,1,1,2011,16,1,B,NA,eff182,NA
unh,eff,2010,313,182,0.32,0.32,NA,25,31,1,1,2011,16,15,A,NA,eff182,NA
unh,eff,2010,314,182,0.25,0.28,NA,31,37,1,1,2011,16,15,A,NA,eff182,NA
unh,eff,2010,318,187,0.46,0.51,NA,76,106,1,1,2011,12,11,A,NA,eff187,NA
unh,eff,2010,315,188,1.29,1.46,NA,212,243,3,4,2011,6,0,B,NA,eff188,NA
unh,eff,2010,316,188,1.12,1.25,NA,193,218,1,1,2011,6,4,B,NA,eff188,NA
unh,eff,2010,317,188,0.25,0.23,NA,41,48,3,4,2011,6,5,A,NA,eff188,NA
unh,eff,2010,335,19,0.36,0.39,NA,68,80,1,1,2011,11,10,A,NA,eff19,NA
unh,eff,2010,336,19,1.21,1.67,NA,169,216,1,1,2011,11,0,B,NA,eff19,NA
unh,eff,2010,337,19,0.86,0.85,NA,99,153,1,1,2011,11,10,B,NA,eff19,NA
unh,eff,2010,319,191,0.48,0.51,NA,89,101,1,1,2011,4,3,A,NA,eff191,NA
unh,eff,2010,320,191,0.23,0.2,NA,33,42,1,1,2011,4,3,A,NA,eff191,NA
unh,eff,2010,321,193,1.24,1.3,NA,225,238,1,1,2011,12,2,B,NA,eff193,NA
unh,eff,2010,322,193,1.51,1.7,NA,270,295,2,2,2011,12,2,B,NA,eff193,NA
unh,eff,2010,323,193,0.36,0.34,NA,60,57,1,1,2011,12,11,A,NA,eff193,NA
unh,eff,2010,324,198,0.22,NA,NA,32,NA,1,NA,2011,26,25,A,NA,eff198,NA
unh,eff,2010,325,198,0.62,0.72,NA,115,145,1,1,2011,26,10,B,NA,eff198,NA
unh,eff,2010,326,198,0.83,0.84,NA,160,176,3,1,2011,26,10,B,NA,eff198,NA
